image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0001,ah,0.7894394235281651,0.8376060365549138,40,4,44,4,10.04987562112089
im0001,vk,0.7439275364347814,0.7300060827219731,41,10,44,3,16.1245154965971
im0002,ah,0.7997497101422604,0.8275919450784572,38,10,40,2,15.652475842498529
im0002,vk,0.7284226640078958,0.725660917434024,36,15,40,4,15.132745950421556
im0003,ah,0.772080714521998,0.7995332226538083,34,4,43,9,15.19696612027041
im0003,vk,0.6393033505017788,0.608199450884455,15,33,43,28,23.40939982143925
im0004,ah,0.7171931433812991,0.8251762347159,37,14,48,11,14.142135623730951
im0004,vk,0.6518550139708165,0.6427793931332808,44,16,48,4,20.952245207128268
im0005,ah,0.7733249843456481,0.8468150724615282,36,8,45,9,17.88854381999832
im0005,vk,0.7372231069929057,0.7041735281820757,34,22,45,11,14.001783442380754
im0044,ah,0.8254296420726192,0.8745223822629562,29,5,45,16,7.615773105863909
im0044,vk,0.7277745460846319,0.6559901072227629,38,49,45,7,22.360679774997898
im0077,ah,0.8555674474686031,0.9023761675890529,17,3,24,7,2.0
im0077,vk,0.8042451835925972,0.7751268115006542,15,41,24,9,14.035668847618199
im0081,ah,0.8452573742047427,0.900077816588264,23,6,26,3,3.0
im0081,vk,0.7483574450305531,0.6778181890653764,19,80,26,7,20.024984394500787
im0082,ah,0.8720874803183729,0.8978656677361847,17,10,25,8,2.0
im0082,vk,0.7767363997676828,0.6883623588009945,4,52,25,29,18.35755975068582
im0139,ah,0.8094637886665617,0.8592809931314953,41,7,45,4,7.810249675906654
im0139,vk,0.732489562075228,0.6985003895918315,36,106,45,9,17.72004514666935
