epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.9112,0.8059,0.842,71.2,26.4,3.8877,1.3
20,0.8771,0.8042,0.8453,54.2,22.6,4.1377,2.5
30,0.8621,0.8072,0.8549,45.6,24.2,3.0778,3.7
40,0.8529,0.8046,0.8509,50.2,22.8,3.4137,4.9
50,0.8489,0.8124,0.854,42.2,23.8,2.9665,6.1
60,0.8364,0.8036,0.8518,44.6,23.8,3.3439,7.4
70,0.8312,0.8099,0.8526,40.4,23.8,3.1295,8.6
80,0.8288,0.7974,0.8472,54.8,21.4,4.2311,9.8
90,0.8281,0.8069,0.8542,44.8,24.0,3.0008,11.0
100,0.82,0.8085,0.8534,45.4,24.4,3.2551,12.2
