epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4706,0.8152,0.8237,82.65,28.85,4.5844,0.9
20,0.4574,0.8188,0.8226,79.75,25.85,4.2754,1.8
30,0.4485,0.8193,0.8278,58.4,25.25,4.6245,2.6
40,0.4407,0.8196,0.8226,46.1,25.7,5.6308,3.5
50,0.4399,0.8192,0.8249,54.75,27.1,4.9384,4.4
60,0.4368,0.8229,0.83,59.9,23.45,4.3593,5.3
70,0.4346,0.8216,0.8313,58.95,23.8,4.3575,6.1
80,0.4322,0.8212,0.8292,56.0,27.9,4.2986,7.0
90,0.4294,0.8231,0.8304,54.65,24.7,4.4887,7.8
100,0.4261,0.8214,0.8271,55.9,26.7,4.7467,8.7
