epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5603,0.8158,0.83,69.75,28.9,4.0334,1.0
20,0.5422,0.8189,0.8319,66.65,27.9,3.8718,2.1
30,0.535,0.8219,0.8334,58.35,28.55,3.7182,3.1
40,0.5276,0.8237,0.834,54.2,30.2,3.92,4.1
50,0.5288,0.8244,0.8323,58.15,29.7,3.9088,5.1
60,0.526,0.8207,0.8327,59.15,29.1,3.7897,6.1
70,0.5211,0.8227,0.8341,55.5,25.95,3.7563,7.1
80,0.5214,0.821,0.8331,59.75,29.0,3.6574,8.1
90,0.5225,0.822,0.8318,55.65,30.8,3.6865,9.2
100,0.5159,0.8239,0.8358,51.55,26.7,3.8646,10.2
