epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.424,0.8192,0.8409,57.2,30.4,3.5219,1.1
20,0.3977,0.8233,0.8363,60.4,30.2,3.606,2.1
30,0.3769,0.8196,0.8295,69.2,31.2,3.5736,3.1
40,0.3621,0.8196,0.8276,55.6,31.6,4.3333,4.1
50,0.3556,0.8191,0.821,65.2,33.0,4.1572,5.2
60,0.3461,0.821,0.8273,65.6,30.8,3.4435,6.2
70,0.3439,0.8151,0.818,80.2,32.6,3.5517,7.2
80,0.335,0.8149,0.8176,77.2,30.2,3.6377,8.3
90,0.3276,0.816,0.8162,71.8,33.2,3.8997,9.3
100,0.3253,0.8164,0.8166,81.0,29.2,3.6287,10.3
