epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4655,0.8189,0.8294,72.0,27.95,4.0433,4.6
20,0.4517,0.8157,0.8267,73.0,29.15,3.849,9.1
30,0.4449,0.8211,0.8301,75.65,28.85,3.6481,13.7
40,0.439,0.8214,0.8302,68.0,26.2,3.7051,18.2
50,0.4445,0.8207,0.8308,77.9,26.8,3.5608,22.8
60,0.4349,0.8235,0.8339,60.0,27.35,3.6382,27.4
70,0.4326,0.824,0.8346,61.25,24.75,3.6005,31.9
80,0.4289,0.8221,0.8307,64.6,26.25,3.6557,36.5
90,0.4302,0.8217,0.8344,65.75,27.15,3.6184,41.0
100,0.4274,0.8221,0.8345,56.05,25.85,3.7356,45.6
