image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0162,ah,0.854229091100247,0.864718538828555,30,38,34,4,3.1622776601683795
im0162,vk,0.7002692629093659,0.7030872237586198,13,74,34,21,17.067490096987115
im0163,ah,0.8893623996066219,0.9033143866545594,23,8,24,1,1.4142135623730951
im0163,vk,0.8085784460552328,0.8332472889926158,16,40,24,8,12.041594578792296
im0235,ah,0.8616893122286035,0.8882329229711052,16,10,25,9,2.23606797749979
im0235,vk,0.7122830297712047,0.7081090571369786,18,46,25,7,18.601075237738275
im0236,ah,0.8578591823943171,0.8847709720945189,22,27,25,3,6.0
im0236,vk,0.7350234783675563,0.7364944223832806,10,33,25,15,18.601075237738275
im0239,ah,0.7817814932257134,0.8107294676473461,17,32,20,3,15.287242235286877
im0239,vk,0.6517189835575485,0.6845033438514627,17,30,20,3,24.839484696748443
im0240,ah,0.7473865911758614,0.8321140213364286,38,18,45,7,11.661903789690601
im0240,vk,0.6135927300652758,0.6415750869245055,36,39,45,9,24.0
im0255,ah,0.828264362901918,0.8753603545490443,21,44,24,3,4.242640687119285
im0255,vk,0.693922445063303,0.6967211170330762,7,62,24,17,16.278820596099706
im0291,ah,0.7807281093517391,0.8278450112989714,10,11,15,5,15.0
im0291,vk,0.7103198406795115,0.7003807456633315,11,22,15,4,32.14031735997639
im0319,ah,0.7574366616989567,0.8021423385997237,29,11,36,7,11.704699910719626
im0319,vk,0.6761208995845868,0.6634586174705117,28,12,36,8,31.398247843725432
im0324,ah,0.6649442712559251,0.7222513836370741,29,8,34,5,26.0
im0324,vk,0.573590865716824,0.5112933644356422,25,24,34,9,35.22782990761707
