epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.624,0.8207,0.8351,60.8,31.4,3.653,1.3
20,0.602,0.8188,0.8374,56.4,33.0,3.3066,2.5
30,0.5932,0.8238,0.8331,60.8,31.0,3.1314,3.7
40,0.5875,0.8235,0.8296,58.6,31.8,3.5193,4.9
50,0.5889,0.8271,0.8376,52.6,31.6,3.4854,6.0
60,0.5778,0.825,0.8385,60.8,27.6,3.0601,7.1
70,0.572,0.8279,0.843,54.0,28.2,3.0971,8.1
80,0.576,0.824,0.833,62.0,30.0,3.1512,9.1
90,0.5685,0.8258,0.8375,54.4,29.2,3.067,10.2
100,0.5703,0.8266,0.8404,45.2,28.2,3.2409,11.2
