epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.2602,0.9242,0.9573,11.65,12.65,2.0822,1.2
20,0.2397,0.9272,0.961,6.5,10.1,2.0574,2.5
30,0.2332,0.923,0.9589,7.3,10.1,2.0841,3.7
40,0.228,0.9291,0.9615,7.4,13.2,1.9718,4.9
50,0.2246,0.9273,0.9596,8.15,16.95,2.1054,6.0
60,0.2192,0.929,0.9604,6.55,8.25,2.1381,7.0
70,0.2204,0.9314,0.9635,5.15,12.2,1.8186,8.0
80,0.2175,0.93,0.9637,6.15,11.85,1.9081,9.0
90,0.218,0.9263,0.9608,5.75,12.75,2.0257,10.0
100,0.2155,0.9263,0.9605,6.15,13.6,2.0589,11.0
