epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4187,0.8146,0.8301,65.65,32.35,4.2408,1.2
20,0.3946,0.8174,0.8273,63.05,27.75,4.1397,2.3
30,0.3873,0.8157,0.8308,62.4,28.65,4.2951,3.4
40,0.3726,0.814,0.8188,67.95,30.6,4.546,4.6
50,0.3651,0.8167,0.8244,60.85,27.2,4.4461,5.7
60,0.3616,0.8153,0.8236,52.3,28.6,4.8048,6.8
70,0.3515,0.8146,0.8231,59.3,29.05,4.5259,8.0
80,0.3486,0.8125,0.8205,64.2,27.15,4.4621,9.1
90,0.3453,0.8118,0.8162,69.5,26.6,4.5559,10.2
100,0.3433,0.8112,0.8177,73.8,24.9,4.5074,11.3
