epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.6319,0.8229,0.8338,69.0,29.0,3.5946,0.9
20,0.6224,0.8236,0.8375,69.4,28.4,3.2525,1.7
30,0.6065,0.8249,0.8367,68.4,29.4,3.0032,2.5
40,0.6019,0.8203,0.8278,77.0,31.4,3.3066,3.4
50,0.5961,0.8223,0.831,57.4,33.4,3.5701,4.2
60,0.5884,0.8222,0.8338,63.2,29.6,3.0129,5.1
70,0.5935,0.8247,0.8334,64.0,30.0,3.0129,5.9
80,0.5897,0.8262,0.8361,60.6,31.2,3.0258,6.8
90,0.588,0.8259,0.8335,66.4,30.4,3.0258,7.6
100,0.5846,0.8233,0.8322,66.8,32.4,3.0129,8.5
