epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.5979,0.8159,0.8257,95.2,27.35,4.1911,0.8
20,0.5674,0.8128,0.821,99.65,28.1,4.1802,1.6
30,0.5356,0.8147,0.8197,98.15,25.4,4.5282,2.4
40,0.5249,0.8137,0.8217,75.6,30.7,4.682,3.2
50,0.5162,0.814,0.8196,77.05,27.0,4.6133,4.0
60,0.5042,0.811,0.8174,83.2,28.85,4.8215,4.8
70,0.504,0.8089,0.8145,82.05,29.85,4.6779,5.6
80,0.4972,0.8077,0.8098,105.3,27.9,4.8398,6.4
90,0.4868,0.8097,0.8121,85.2,28.75,4.8048,7.2
100,0.4867,0.8091,0.8109,100.2,26.35,4.7616,8.0
